Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AEP,AMERICAN ELECTRIC POWER INC,EQUITY,Utilities,Equity,"12,975,899.52",0.73,"12,975,899.52","149,768.00",86.64,United States,NASDAQ,USD,1,USD,-
TRP,TC ENERGY CORP,EQUITY,Energy,Equity,"12,953,589.18",0.73,"12,953,589.18","323,274.00",40.07,Canada,New York Stock Exchange Inc.,USD,1,USD,-
SR,SPIRE INC,EQUITY,Utilities,Equity,"12,942,941.33",0.73,"12,942,941.33","190,927.00",67.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
ETR,ENTERGY CORP,EQUITY,Utilities,Equity,"12,905,725.00",0.72,"12,905,725.00","127,150.00",101.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
WTRG,ESSENTIAL UTILITIES INC,EQUITY,Utilities,Equity,"12,870,390.81",0.72,"12,870,390.81","318,023.00",40.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
CPK,CHESAPEAKE UTILITIES CORP,EQUITY,Utilities,Equity,"12,832,067.64",0.72,"12,832,067.64","102,468.00",125.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
FE,FIRSTENERGY CORP,EQUITY,Utilities,Equity,"12,762,533.34",0.72,"12,762,533.34","336,033.00",37.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
NJR,NEW JERSEY RESOURCES CORP,EQUITY,Utilities,Equity,"12,741,455.33",0.71,"12,741,455.33","260,189.00",48.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
ENB,ENBRIDGE INC,EQUITY,Energy,Equity,"12,732,010.20",0.71,"12,732,010.20","343,644.00",37.05,Canada,New York Stock Exchange Inc.,USD,1,USD,-
EXC,EXELON CORP,EQUITY,Utilities,Equity,"12,701,147.94",0.71,"12,701,147.94","322,446.00",39.39,United States,NASDAQ,USD,1,USD,-
UNP,UNION PACIFIC CORP,EQUITY,Industrials,Equity,"12,689,843.49",0.71,"12,689,843.49","63,829.00",198.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
NSC,NORFOLK SOUTHERN CORP,EQUITY,Industrials,Equity,"12,648,106.70",0.71,"12,648,106.70","58,510.00",216.17,United States,New York Stock Exchange Inc.,USD,1,USD,-
SSD,SIMPSON MANUFACTURING INC,EQUITY,Industrials,Equity,"12,638,252.54",0.71,"12,638,252.54","99,178.00",127.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
ETRN,EQUITRANS MIDSTREAM CORP,EQUITY,Energy,Equity,"12,623,677.26",0.71,"12,623,677.26","2,128,782.00",5.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMB,WILLIAMS INC,EQUITY,Energy,Equity,"12,585,362.18",0.71,"12,585,362.18","430,858.00",29.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
D,DOMINION ENERGY INC,EQUITY,Utilities,Equity,"12,582,459.96",0.71,"12,582,459.96","238,847.00",52.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
HWKN,HAWKINS INC,EQUITY,Materials,Equity,"12,582,085.14",0.71,"12,582,085.14","264,274.00",47.61,United States,NASDAQ,USD,1,USD,-
PNM,PNM RESOURCES INC,EQUITY,Utilities,Equity,"12,534,945.28",0.7,"12,534,945.28","273,152.00",45.89,United States,New York Stock Exchange Inc.,USD,1,USD,-
KMI,KINDER MORGAN INC,EQUITY,Energy,Equity,"12,488,806.12",0.7,"12,488,806.12","755,981.00",16.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
HSC,HARSCO CORP,EQUITY,Industrials,Equity,"12,457,874.13",0.7,"12,457,874.13","1,329,549.00",9.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
MLM,MARTIN MARIETTA MATERIALS INC,EQUITY,Materials,Equity,"12,422,605.02",0.7,"12,422,605.02","30,461.00",407.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
DTM,DT MIDSTREAM INC,EQUITY,Energy,Equity,"12,349,036.38",0.69,"12,349,036.38","258,186.00",47.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
XPEL,XPEL INC,EQUITY,Consumer Discretionary,Equity,"12,318,490.09",0.69,"12,318,490.09","166,219.00",74.11,United States,NASDAQ,USD,1,USD,-
NWN,NORTHWEST NATURAL HOLDING COMPANY,EQUITY,Utilities,Equity,"12,300,868.00",0.69,"12,300,868.00","276,424.00",44.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
OC,OWENS CORNING,EQUITY,Industrials,Equity,"12,259,559.46",0.69,"12,259,559.46","109,833.00",111.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMS,ADVANCED DRAINAGE SYSTEMS INC,EQUITY,Industrials,Equity,"12,202,190.40",0.68,"12,202,190.40","124,006.00",98.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
TREX,TREX INC,EQUITY,Industrials,Equity,"12,145,187.25",0.68,"12,145,187.25","210,525.00",57.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
BCC,BOISE CASCADE,EQUITY,Industrials,Equity,"12,106,337.88",0.68,"12,106,337.88","158,377.00",76.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
