Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
International Bancshares Corp.,0.01%,Banks,US,"$340,750.81 ","5,894",IBOC
Pacific Premier Bancorp Inc.,0.01%,Banks,US,"$300,575.46 ","9,975",PPBI
Pinnacle Financial Partners Inc.,0.01%,Banks,US,"$562,264.81 ","7,653",PNFP
Popular Inc.,0.01%,Banks,PR,"$619,783.22 ","7,623",BPOP
Prosperity Bancshares Inc.,0.01%,Banks,US,"$777,660.62 ","9,166",PB
ServisFirst Bancshares Inc.,0.01%,Banks,US,"$356,177.26 ","5,206",SFBS
SouthState Corp.,0.01%,Banks,US,"$745,563.14 ","7,978",SSB
Synovus Financial Corp.,0.01%,Banks,US,"$607,614.43 ","14,561",SNV
Texas Capital Bancshares Inc.,0.01%,Banks,US,"$347,843.46 ","5,109",TCBI
UMB Financial Corp.,0.01%,Banks,US,"$352,580.33 ","4,091",UMBF
Valley National Bancorp,0.01%,Banks,US,"$574,333.54 ","45,193",VLY
Western Alliance Bancorp,0.01%,Banks,US,"$552,403.61 ","10,984",WAL
Wintrust Financial Corp.,0.01%,Banks,US,"$594,102.08 ","6,414",WTFC
WSFS Financial Corp.,0.01%,Banks,US,"$310,664.65 ","6,520",WSFS
Zions Bancorp NA,0.01%,Banks,US,"$594,236.30 ","15,743",ZION
1895 Bancorp of Wisconsin Inc.,0.00%,Banks,US,"$10,661.76 ","1,137",BCOW
1st Source Corp.,0.00%,Banks,US,"$45,221.75 ",801,SRCE
ACNB Corp.,0.00%,Banks,US,"$33,157.29 ",807,ACNB
Amalgamated Financial Corp.,0.00%,Banks,US,"$51,846.64 ","2,351",AMAL
Amerant Bancorp Inc.,0.00%,Banks,US,"$81,710.73 ","3,242",AMTB
American National Bankshares Inc.,0.00%,Banks,US,"$40,312.18 ","1,030",AMNB
AmeriServ Financial Inc.,0.00%,Banks,US,"$4,719.31 ","1,197",ASRV
Ames National Corp.,0.00%,Banks,US,"$27,042.17 ","1,036",ATLO
Arrow Financial Corp.,0.00%,Banks,US,"$41,154.57 ","1,407",AROW
Auburn National BanCorp Inc.,0.00%,Banks,US,"$6,416.93 ",215,AUBN
Banc of California Inc.,0.00%,Banks,US,"$81,265.05 ","5,285",BANC
BancFirst Corp.,0.00%,Banks,US,"$205,435.48 ","1,898",BANF
Bancorp Inc.,0.00%,Banks,US,"$226,136.21 ","5,231",NYCB
Bank First Corp.,0.00%,Banks,US,"$106,149.39 ","1,146",BFC
Bank of Hawaii Corp.,0.00%,Banks,US,"$277,153.38 ","4,224",BOH
Bank of Marin Bancorp,0.00%,Banks,US,"$36,461.58 ","1,526",BMRC
Bank7 Corp.,0.00%,Banks,US,"$16,919.43 ",521,BSVN
BankFinancial Corp.,0.00%,Banks,US,"$12,549.55 ","1,119",BFIN
BankUnited Inc.,0.00%,Banks,US,"$246,111.11 ","8,056",BKU
Bankwell Financial Group Inc.,0.00%,Banks,US,"$23,362.11 ",741,BWFG
Banner Corp.,0.00%,Banks,US,"$240,504.23 ","3,556",BANR
Bar Harbor Bankshares,0.00%,Banks,US,"$47,203.57 ","1,405",BHB
BayCom Corp.,0.00%,Banks,US,"$32,011.17 ","1,416",BCML
Bayfirst Financial Corp.,0.00%,Banks,US,"$6,351.03 ",326,BAFN
BCB Bancorp Inc.,0.00%,Banks,US,"$23,446.14 ","1,467",BCBP
